	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63
47	22468	21530	22365	22397	21514	21789	21970	21513	22340	22341	22343	22343	22345	22018	22344	22337	22338	21512	21467	21462	21516	21511	21463	21487	21792	22018	22022	22344	22403	22374	22335	21518	22341	22374	22343	22339	21518	22339	22342	21423	21427	21422	21938	21936	21471	21960	0	29065	21378	215	21843	22110	21649	21643	22474	22467	22470	21467	21643	21651	22479	21473	21472
48	29385	29190	29062	28550	29193	27495	29030	29192	29155	29155	29156	29156	29157	29079	29153	29082	29082	28906	29086	29124	29191	29193	29119	29164	27495	29080	29080	29156	29156	29157	29086	29194	29156	29166	29154	29156	29190	29155	29156	29277	29283	29274	27685	27685	29341	29074	29065	0	29227	29220	29194	29228	29377	29387	29279	29278	29279	29332	29384	29378	29350	29351	29352
49	22469	21383	22087	22514	21378	22059	21851	21377	22067	22069	22069	22068	22066	21842	22075	21844	21842	21448	21402	21389	21379	21379	21396	21385	22061	21842	21845	22068	22151	22101	21842	21377	22066	22099	22067	22066	21380	22068	22072	211	212	192	22157	22155	21651	22402	21378	29227	0	21395	22349	22431	21469	21469	21933	21932	21935	273	21465	21468	22161	21653	21653
50	22428	21609	22450	22549	21593	21879	22127	21593	22425	22426	22428	22427	22430	22108	22430	22418	22417	21660	21614	21609	21594	21589	21611	21601	21881	22109	22113	22430	22488	22459	22414	21597	22427	22459	22427	22423	21597	22424	22428	21377	21379	21379	21893	21891	21434	22110	215	29220	21395	0	21866	22060	21605	21599	22423	22415	22418	21423	21599	21608	22435	21435	21433
51	21459	22336	21536	22369	22328	22028	21344	22329	21510	21509	21509	21508	21513	21336	21507	22349	22345	22413	22363	22345	22330	22331	22353	22340	22027	21342	21342	21507	21590	21544	22345	22328	21510	21544	21511	21508	22331	21512	21509	22396	22395	22390	22152	22150	22141	21844	21843	29194	22349	21866	0	21873	22440	22441	22462	22464	22464	22445	22440	22445	21628	22148	22145
52	22117	22307	22435	21516	22297	21418	22437	22296	22413	22413	22414	22412	22411	22424	22411	21602	21599	22370	22319	22314	22297	22293	22320	22302	21413	22421	22420	22411	22491	22442	21601	22295	22415	22440	22415	22409	22291	22414	22416	22393	22392	22398	21429	21427	21894	188	22110	29228	22431	22060	21873	0	22299	22294	21601	21605	21606	22442	22295	22295	22426	21905	21902
53	22278	317	21937	22056	252	22476	22480	248	21924	21924	21921	21923	21926	22466	21924	22150	22149	553	379	320	249	257	329	288	22479	22467	22466	21922	22001	21954	22143	243	21922	21953	21922	21923	257	21924	21918	21422	21424	21426	22408	22411	21326	22349	21649	29377	21469	21605	22440	22299	0	47	22075	22064	22071	21382	50	43	21848	21318	21318
54	22282	321	21937	22064	254	22474	22479	250	21924	21923	21919	21920	21923	22465	21923	22150	22149	550	378	322	254	258	332	288	22477	22466	22465	21922	22000	21954	22142	252	21923	21954	21924	21924	261	21924	21919	21422	21424	21426	22406	22409	21318	22344	21643	29387	21469	21599	22441	22294	47	0	22075	22064	22071	21381	38	42	21848	21310	21310
55	22263	22171	21952	21617	22160	21463	22168	22157	21935	21934	21936	21935	21931	22152	21935	260	263	22229	22187	22178	22154	22158	22181	22166	21463	22152	22155	21932	22013	21969	266	22154	21928	21968	21935	21936	22154	21931	21937	21892	21891	21893	21396	21393	22400	21640	22474	29279	21933	22423	22462	21601	22075	22075	0	42	28	21849	22076	22078	21849	22397	22396
56	22262	22158	21950	21612	22148	21458	22168	22145	21932	21932	21934	21933	21927	22153	21933	243	243	22219	22175	22166	22142	22147	22170	22154	21459	22153	22156	21930	22013	21967	248	22142	21927	21969	21932	21934	22142	21930	21935	21893	21891	21892	21391	21388	22393	21643	22467	29278	21932	22415	22464	21605	22064	22064	42	0	22	21848	22065	22067	21847	22390	22388
57	22263	22165	21951	21619	22155	21464	22170	22152	21933	21933	21935	21935	21928	22156	21934	245	247	22224	22181	22172	22149	22154	22176	22160	21465	22155	22158	21932	22014	21968	253	22149	21928	21970	21933	21935	22149	21931	21936	21894	21891	21893	21395	21392	22398	21646	22470	29279	21935	22418	22464	21606	22071	22071	28	22	0	21850	22072	22074	21847	22395	22393
58	22402	21465	22169	22612	21459	22150	21937	21456	22151	22153	22153	22153	22150	21926	22152	21934	21933	21532	21485	21471	21460	21459	21478	21467	22152	21926	21929	22152	22233	22185	21931	21456	22148	22179	22151	22149	21461	22151	22155	94	91	106	22077	22076	21571	22484	21467	29332	273	21423	22445	22442	21382	21381	21849	21848	21850	0	21378	21383	22070	21576	21575
59	22289	324	21939	22060	258	22477	22473	254	21927	21925	21922	21924	21926	22459	21924	22150	22149	551	380	325	258	262	336	293	22480	22460	22459	21925	22003	21956	22143	258	21925	21956	21925	21926	265	21927	21921	21418	21420	21422	22408	22411	21318	22346	21643	29384	21465	21599	22440	22295	50	38	22076	22065	22072	21378	0	38	21850	21310	21310
60	22286	296	21932	22053	227	22472	22480	224	21920	21918	21915	21917	21919	22466	21925	22148	22147	533	359	295	227	234	306	264	22475	22467	22466	21918	21996	21950	22140	231	21917	21954	21919	21919	237	21920	21915	21419	21424	21423	22403	22406	21327	22345	21651	29378	21468	21608	22445	22295	43	42	22078	22067	22074	21383	38	0	21851	21318	21319
61	21319	21938	337	22290	21933	22465	21470	21933	235	235	238	237	241	21459	264	21921	21922	21997	21951	21944	21935	21936	21944	21943	22464	21461	21466	240	503	344	21925	21931	242	353	240	241	21929	245	242	22107	22108	22115	22388	22391	22263	22461	22479	29350	22161	22435	21628	22426	21848	21848	21849	21847	21847	22070	21850	21851	0	22262	22261
62	21852	21395	22352	22478	21378	22475	22486	21378	22338	22335	22338	22337	22338	22476	22340	22457	22458	21461	21401	21397	21379	21379	21399	21394	22475	22478	22479	22337	22406	22374	22458	21381	22341	22358	22342	22333	21385	22335	22338	21612	21607	21609	22400	22400	59	21954	21473	29351	21653	21435	22148	21905	21318	21310	22397	22390	22395	21576	21310	21318	22262	0	30
63	21851	21395	22351	22472	21378	22474	22486	21378	22338	22335	22338	22336	22337	22477	22339	22455	22456	21462	21402	21397	21379	21379	21399	21394	22474	22478	22479	22336	22404	22373	22456	21381	22340	22357	22341	22332	21385	22334	22337	21611	21606	21608	22399	22400	59	21952	21472	29352	21653	21433	22145	21902	21318	21310	22396	22388	22393	21575	21310	21319	22261	30	0
